uniform2: version2 754.2741699796968 57.539065666699635 34.52111669910037
uniform2: version2 2388.4103884177725 279.4153317196728 40.0 Fail
uniform2: version2 2387.0966799187877 272.3509052796103 38.50580975504279 Fail
uniform2: version2 2387.096679918788 273.9209944996976 39.92932340535785 Fail
uniform2: version2 2387.0966799187877 272.3509052796103 38.38975340064419 Fail
uniform2: version2 856.9015869776667 89.76904818752249 35.690501061482706 Fail
uniform2: version2 2387.0966799187877 270.7808160595227 36.99646417665385 Fail
uniform2: version2 2387.0966799187877 277.0611729398723 36.975169675311676 Fail
uniform2: version2 2387.0966799187877 275.49108371978497 37.004295941218544 Fail
uniform2: version2 2387.0966799187877 272.35090527961023 38.692873131493705 Fail
uniform2: version2 2387.7240969167574 273.9167166792867 38.69846197389251 Fail
uniform2: version2 2387.0966799187877 273.92099449969777 37.109247592323726 Fail
uniform2: version2 2387.0966799187877 275.491083719785 38.43570422187586 Fail
uniform2: version2 2387.0966799187877 275.491083719785 36.96858524820168 Fail
uniform2: version2 650.7594513539353 43.370578923678835 36.557984219394214
uniform2: version2 2387.0966799187877 275.491083719785 37.17005995619218 Fail
uniform2: version2 2387.0966799187877 270.7808160595227 37.61692273773232 Fail
uniform2: version2 2387.7240969167574 273.9167166792867 38.545490991047416 Fail
uniform2: version2 2388.4103884177725 271.56417886608165 38.423453663459675 Fail
uniform2: version2 2388.4103884177725 271.56417886608165 36.964397306540164 Fail
